count,time
16,162.0
16,157.0
64,210.0
64,181.0
128,243.0
128,266.0
512,540.0
512,497.0
1024,730.0
1024,614.0
2048,1023.0
2048,951.0
4096,1751.0
4096,1856.0
8092,3163.0
8092,3722.0
16384,5950.0
16384,5907.0
